,loan_amnt,int_rate,installment
2876,12000,17.58%,301.99
2877,7000,7.90%,219.04
2878,7000,11.71%,231.54
2879,35000,11.71%,773.44
2880,1000,15.27%,34.8
2881,16000,12.69%,536.72
2882,10000,16.77%,355.39
2883,10500,19.42%,274.81
2884,25000,12.69%,564.87
2885,3100,11.71%,102.54
2886,25000,11.71%,552.46
2887,2500,6.03%,76.09
2888,9000,13.49%,305.38
2889,1600,16.29%,56.49
2890,10800,14.65%,372.54
2891,20000,13.49%,460.1
2892,8000,13.49%,271.45
2893,12000,19.42%,314.07
2894,5000,6.03%,152.18
2895,6000,9.91%,193.35
2896,8600,10.65%,280.13
2897,9450,16.29%,333.59
2898,5200,12.42%,173.76
2899,6000,8.90%,190.52
2900,2800,14.65%,96.59
2901,8500,15.27%,295.79
2902,27000,19.91%,713.99
2903,3200,13.49%,108.58
2904,17050,14.27%,584.97
2905,18000,13.49%,414.09
2906,6200,12.69%,207.98
2907,8000,19.42%,294.95
2908,12000,13.49%,407.17
2909,20000,11.71%,441.97
2910,3000,6.62%,92.12
2911,10000,15.96%,351.38
2912,8000,14.65%,275.96
2913,14000,9.91%,451.15
2914,22000,16.77%,544.04
2915,16000,14.27%,548.95
2916,4500,10.65%,146.58
2917,8000,6.62%,245.63
2918,5000,20.89%,188.1
2919,15000,14.27%,514.64
2920,35000,14.27%,819.3
2921,16000,6.03%,486.97
2922,14400,14.27%,494.05
2923,35000,8.90%,1111.37
2924,17000,9.91%,547.83
2925,15000,15.27%,358.98
2926,5600,7.90%,175.23
2927,9000,15.96%,316.24
2928,9000,12.42%,300.74
2929,8800,11.71%,291.07
2930,8000,18.25%,290.23
2931,10000,11.71%,330.76
2932,12000,8.90%,248.52
2933,5000,10.65%,162.87
2934,16000,17.27%,572.6
2935,1925,9.91%,62.04
2936,20000,15.96%,485.94
2937,4200,20.89%,113.37
2938,15000,7.51%,466.67
2939,5200,13.49%,176.44
2940,16000,15.27%,556.77
2941,2700,12.69%,90.58
2942,4500,11.71%,148.85
2943,2100,6.03%,63.92
2944,1000,12.69%,33.55
2945,4000,20.30%,106.65
2946,13000,7.90%,406.78
2947,28000,18.64%,720.81
2948,22400,18.25%,571.87
2949,16000,6.03%,486.97
2950,30500,14.27%,713.96
2951,3000,8.90%,95.26
2952,30000,9.91%,966.75
2953,20000,12.69%,451.9
2954,4900,6.03%,149.14
2955,12000,17.58%,301.99
2956,20000,14.27%,468.17
2957,7000,15.96%,245.97
2958,3600,11.71%,119.08
2959,13200,13.49%,303.67
2960,6000,15.27%,208.79
2961,35000,7.90%,1095.16
2962,7000,9.91%,225.58
2963,35000,10.65%,1140.07
2964,7000,7.90%,219.04
2965,10500,15.96%,368.95
2966,15575,14.27%,534.37
2967,14000,16.77%,346.21
2968,16000,7.90%,500.65
2969,3000,12.69%,100.64
2970,7200,19.03%,264.04
2971,3200,12.42%,106.93
2972,30000,19.42%,785.17
2973,15600,11.71%,515.99
2974,5600,15.27%,134.02
2975,3000,11.71%,99.23
2976,18000,7.90%,563.23
2977,7200,11.71%,238.15
2978,16000,16.77%,395.67
2979,3000,12.69%,100.64
2980,24000,19.03%,622.97
2981,6000,6.03%,182.62
2982,15000,18.25%,382.95
2983,25000,12.42%,835.39
2984,10000,6.03%,304.36
2985,15000,6.62%,460.56
2986,5000,19.91%,132.22
2987,30000,6.62%,921.11
2988,5000,12.42%,167.08
2989,7500,16.77%,266.54
2990,35000,12.42%,786.01
2991,16800,6.03%,511.32
2992,35000,17.27%,874.93
2993,1800,7.51%,56.0
2994,16000,17.27%,572.6
2995,3000,12.42%,100.25
2996,5000,6.62%,153.52
2997,24000,14.65%,566.56
2998,13000,8.90%,412.8
2999,4000,13.49%,135.73
3000,25000,19.03%,648.93
3001,15000,7.90%,469.36
3002,35000,7.90%,1095.16
3003,10000,12.42%,334.16
3004,10000,11.71%,330.76
3005,14400,10.65%,469.06
3006,35000,23.52%,997.16
3007,6075,12.42%,203.0
3008,8000,6.62%,245.63
3009,20000,17.27%,499.96
3010,35000,7.90%,1095.16
3011,17400,18.25%,444.22
3012,16000,17.58%,402.65
3013,1600,12.42%,53.47
3014,12800,8.90%,265.09
3015,7750,6.62%,237.96
3016,18000,22.06%,497.76
3017,5700,23.52%,162.4
3018,12000,15.27%,287.19
3019,6000,13.49%,203.59
3020,3000,13.49%,101.8
3021,5600,7.90%,175.23
3022,8000,14.65%,275.96
3023,30000,16.77%,1066.16
3024,20000,13.49%,678.61
3025,10000,9.91%,212.03
3026,24000,9.91%,773.4
3027,10800,20.30%,287.94
3028,17600,13.49%,404.89
3029,5100,7.90%,159.59
3030,6000,12.69%,201.27
3031,1400,13.49%,47.51
3032,8000,15.96%,281.1
3033,7500,12.42%,250.62
3034,3175,6.03%,96.64
3035,18000,7.90%,563.23
3036,10000,14.65%,344.95
3037,7000,7.90%,219.04
3038,20000,14.65%,472.14
3039,20500,11.71%,453.02
3040,14800,17.27%,369.98
3041,30000,13.49%,690.15
3042,3000,6.03%,91.31
3043,5800,17.27%,144.99
3044,4000,10.65%,130.3
3045,6000,12.69%,201.27
3046,32275,11.71%,713.22
3047,35000,18.25%,1269.73
3048,7800,9.91%,165.39
3049,6000,8.90%,190.52
3050,6300,14.65%,217.32
3051,18000,11.71%,397.77
3052,5000,8.90%,158.77
3053,16000,12.42%,534.65
3054,5000,8.90%,158.77
3055,12000,19.03%,440.06
3056,12000,8.90%,248.52
3057,30000,9.91%,636.09
3058,1300,7.90%,40.68
3059,16000,6.03%,486.97
3060,11250,17.58%,404.35
3061,7000,17.58%,251.6
3062,5000,7.51%,155.56
3063,8000,7.90%,250.33
3064,12000,8.90%,381.04
3065,4000,6.03%,121.75
3066,7000,9.91%,225.58
3067,7600,6.03%,231.32
3068,20000,17.27%,499.96
3069,10000,11.71%,330.76
3070,8000,6.62%,245.63
3071,12000,12.42%,269.49
3072,16500,11.71%,364.62
3073,4475,10.65%,145.77
3074,5750,8.90%,182.59
3075,14600,19.91%,386.08
3076,11200,22.06%,309.72
3077,4900,6.03%,149.14
3078,10000,7.51%,311.11
3079,16000,6.03%,486.97
3080,25200,15.96%,612.28
3081,18650,21.67%,511.6
3082,12000,11.71%,396.92
3083,3600,12.69%,120.77
3084,15600,17.58%,392.59
3085,15000,11.71%,496.14
3086,19200,14.65%,662.29
3087,9600,14.65%,331.15
3088,13200,7.51%,410.67
3089,16000,7.51%,497.78
3090,12000,6.62%,368.45
3091,12000,16.77%,296.75
3092,4000,14.27%,137.24
3093,5000,7.90%,156.46
3094,30000,23.13%,847.96
3095,35000,18.64%,1276.6
3096,5000,6.62%,153.52
3097,6000,15.96%,210.83
3098,5700,19.03%,147.96
3099,5000,11.71%,165.38
3100,23000,13.49%,529.11
3101,12000,16.77%,296.75
3102,25000,10.65%,539.21
3103,6000,9.91%,193.35
3104,10000,7.51%,311.11
3105,7500,19.03%,194.68
3106,7000,7.90%,219.04
3107,10000,14.27%,343.09
3108,20000,13.49%,678.61
3109,9600,7.90%,300.39
3110,20000,18.25%,510.6
3111,6550,10.65%,213.36
3112,2500,9.91%,80.57
3113,12000,19.42%,314.07
3114,2500,9.91%,80.57
3115,30400,21.28%,827.22
3116,11300,12.69%,255.33
3117,8575,19.42%,316.15
3118,16000,11.71%,529.22
3119,13000,11.71%,287.28
3120,8500,10.65%,276.88
3121,6000,12.69%,201.27
3122,8800,6.03%,267.84
3123,25000,11.71%,826.9
3124,6000,7.51%,186.67
3125,12000,10.65%,390.88
3126,9600,16.77%,237.4
3127,8300,7.90%,259.71
3128,5500,17.58%,197.69
3129,35000,7.90%,1095.16
3130,3000,11.71%,99.23
3131,2500,13.49%,84.83
3132,12000,16.77%,426.47
3133,7200,7.90%,225.29
3134,2000,6.62%,61.41
3135,22000,19.91%,816.6
3136,14000,7.90%,438.07
3137,7500,14.27%,257.32
3138,6000,9.91%,193.35
3139,15000,19.42%,392.59
3140,22900,18.25%,584.63
3141,3500,6.03%,106.53
3142,35000,20.89%,944.71
3143,1950,12.69%,65.42
3144,12000,6.62%,368.45
3145,5000,14.27%,171.55
3146,6250,17.27%,156.24
3147,15000,17.58%,377.49
3148,30000,19.91%,793.32
3149,7000,7.90%,219.04
3150,2600,6.03%,79.14
3151,14000,6.62%,429.86
3152,15000,14.27%,514.64
3153,14300,6.03%,435.23
3154,15600,15.96%,379.04
3155,19000,16.77%,469.86
3156,6000,10.65%,195.44
3157,3000,12.42%,100.25
3158,3500,12.69%,117.41
3159,2250,18.25%,81.63
3160,8400,11.71%,185.63
3161,5000,9.91%,161.13
3162,16000,18.64%,411.89
3163,27575,14.65%,650.96
3164,14000,7.90%,438.07
3165,35000,20.30%,933.14
3166,30000,20.30%,799.84
3167,5000,6.03%,152.18
3168,7500,11.71%,248.07
3169,3000,7.90%,93.88
3170,9000,18.64%,328.27
3171,24000,11.71%,530.36
3172,13000,14.65%,306.89
3173,5500,10.65%,179.16
3174,3500,11.71%,115.77
3175,35000,12.69%,790.82
3176,24000,8.90%,762.08
3177,21000,17.58%,528.48
3178,13200,14.27%,309.0
3179,30000,9.91%,966.75
3180,12000,8.90%,381.04
3181,5000,6.62%,153.52
3182,6850,19.03%,177.81
3183,12000,7.90%,375.49
3184,15000,20.30%,399.92
3185,20000,15.27%,478.64
3186,5000,16.77%,177.7
3187,35000,12.42%,786.01
3188,1500,8.90%,47.63
3189,12000,14.27%,280.91
3190,21000,17.58%,528.48
3191,6000,8.90%,190.52
3192,35000,17.27%,874.93
3193,12400,15.27%,296.76
3194,30000,9.91%,966.75
3195,1200,14.27%,41.18
3196,7000,7.51%,217.78
3197,5600,7.90%,175.23
3198,4200,14.27%,144.1
3199,7000,16.29%,247.11
3200,25000,12.69%,838.63
3201,8500,6.03%,258.71
3202,3000,7.90%,93.88
3203,1600,7.51%,49.78
3204,35000,19.03%,908.5
3205,3400,12.69%,114.06
3206,10000,19.42%,368.69
3207,10000,6.62%,307.04
3208,3500,16.29%,123.56
3209,24000,19.42%,628.14
3210,35000,7.90%,1095.16
3211,14000,12.69%,469.63
3212,9600,14.27%,224.73
3213,15000,11.71%,496.14
3214,1000,11.71%,33.08
3215,4000,6.62%,122.82
3216,20000,8.90%,635.07
3217,14000,7.90%,438.07
3218,15000,6.03%,456.54
3219,20000,11.71%,441.97
3220,15000,6.62%,460.56
3221,23000,14.27%,538.4
3222,6800,12.69%,228.11
3223,30000,11.71%,662.95
3224,26375,19.42%,690.3
3225,6400,11.71%,211.69
3226,10200,8.90%,323.89
3227,30000,7.51%,933.33
3228,12000,8.90%,248.52
3229,12000,17.27%,299.98
3230,15000,17.27%,374.97
3231,15000,16.77%,370.94
3232,8000,7.51%,248.89
3233,19000,9.91%,402.86
3234,9250,7.90%,289.44
3235,35000,11.71%,773.44
3236,18000,12.69%,603.81
3237,4600,17.27%,115.0
3238,5400,12.42%,180.45
3239,14400,15.27%,344.62
3240,3000,15.27%,71.8
3241,1450,12.42%,48.46
3242,12000,18.25%,306.36
3243,7200,8.90%,228.63
3244,6000,19.03%,155.75
3245,12000,12.69%,271.14
3246,6000,6.62%,184.23
3247,8000,19.42%,294.95
3248,12600,7.90%,254.88
3249,35000,8.90%,1111.37
3250,8400,7.51%,261.34
3251,11425,9.91%,368.18
3252,20000,10.65%,431.37
3253,16000,12.42%,534.65
3254,24000,14.27%,561.81
3255,2700,11.71%,89.31
3256,20400,11.71%,674.75
3257,3000,12.69%,100.64
3258,35000,22.06%,967.86
3259,6000,12.42%,200.5
3260,6000,6.03%,182.62
3261,3000,11.71%,99.23
3262,9000,7.90%,281.62
3263,15000,14.27%,351.13
3264,5000,6.62%,153.52
3265,8000,16.77%,197.84
3266,7200,6.03%,219.14
3267,20000,8.90%,635.07
3268,2300,7.90%,71.97
3269,14400,15.27%,344.62
3270,35000,21.28%,952.39
3271,4375,12.69%,146.76
3272,10000,21.67%,274.32
3273,5600,7.90%,175.23
3274,5000,12.69%,167.73
3275,6000,8.90%,190.52
3276,8000,11.71%,264.61
3277,5000,6.03%,152.18
3278,35000,11.71%,773.44
3279,2800,13.49%,95.01
3280,15000,15.96%,527.06
3281,3500,17.27%,125.26
3282,20000,12.42%,449.15
3283,14000,9.91%,451.15
3284,11200,9.91%,360.92
3285,20000,19.42%,523.45
3286,14000,12.69%,469.63
3287,6000,8.90%,124.26
3288,4000,9.91%,128.9
3289,5000,6.03%,152.18
3290,3500,6.03%,106.53
3291,2700,13.49%,91.62
3292,12800,18.64%,329.51
3293,14400,17.27%,359.98
3294,7800,7.90%,244.07
3295,10000,9.91%,322.25
3296,5600,17.58%,201.28
3297,5000,9.91%,161.13
3298,35000,22.74%,981.45
3299,3200,11.71%,105.85
3300,12000,6.62%,368.45
3301,20000,11.71%,661.52
3302,5000,7.51%,155.56
3303,5500,6.03%,167.4
3304,12000,17.58%,431.31
3305,7000,8.90%,222.28
3306,2000,18.64%,51.49
3307,35000,20.89%,944.71
3308,35000,22.74%,981.45
3309,30750,18.25%,1115.55
3310,12000,8.90%,248.52
3311,5325,14.27%,182.7
3312,6800,10.65%,221.5
3313,8400,15.96%,204.1
3314,13000,8.90%,412.8
3315,1500,10.65%,48.86
3316,30000,9.91%,636.09
3317,16950,13.49%,389.93
3318,6625,18.25%,240.35
3319,8000,19.91%,211.56
3320,10000,12.42%,334.16
3321,19000,12.69%,429.3
3322,5000,11.71%,165.38
3323,35000,19.91%,925.54
3324,29850,18.25%,1082.9
3325,10675,6.62%,327.77
3326,6650,18.25%,169.78
3327,12000,12.42%,400.99
3328,4150,17.58%,149.16
3329,13650,16.29%,481.86
3330,5000,14.65%,172.48
3331,15000,11.71%,496.14
3332,7200,10.65%,234.53
3333,24000,8.90%,762.08
3334,6400,10.65%,208.47
3335,8000,17.27%,286.3
3336,10600,16.77%,262.13
3337,7000,13.49%,237.52
3338,7500,7.90%,234.68
3339,6000,11.71%,198.46
3340,10775,10.65%,350.98
3341,10000,15.27%,347.98
3342,2400,9.91%,77.34
3343,6600,17.27%,164.99
3344,7500,8.90%,238.15
3345,30000,6.62%,921.11
3346,3200,16.29%,112.97
3347,8000,14.27%,274.48
3348,5000,18.25%,181.39
3349,21000,12.69%,704.45
3350,15000,12.69%,338.93
3351,13500,7.90%,273.09
3352,5000,7.90%,156.46
3353,20000,16.77%,494.59
3354,7500,6.62%,230.28
3355,14125,13.49%,479.27
3356,20000,10.65%,651.47
3357,25000,12.42%,561.44
3358,17325,12.69%,391.46
3359,14125,18.25%,360.61
3360,7000,12.69%,234.82
3361,14000,8.90%,289.94
3362,12250,6.03%,372.84
3363,5200,8.90%,165.12
3364,35000,7.90%,1095.16
3365,7000,13.49%,237.52
3366,18225,19.91%,481.94
3367,12000,15.27%,287.19
3368,10000,13.49%,339.31
3369,2000,7.51%,62.23
3370,17400,22.35%,484.04
3371,6000,6.03%,182.62
3372,5600,10.65%,182.42
3373,6000,9.91%,193.35
3374,32000,22.74%,897.33
3375,6000,7.51%,186.67
3376,6000,6.03%,182.62
3377,25000,7.90%,782.26
3378,20000,17.58%,503.32
3379,5000,14.27%,171.55
3380,7000,14.65%,241.46
3381,5000,10.65%,162.87
3382,15000,10.65%,488.6
3383,27250,8.90%,865.28
3384,12000,9.91%,386.7
3385,4000,6.62%,122.82
3386,24000,12.69%,542.28
3387,14400,12.69%,483.05
3388,6550,7.90%,204.96
3389,7000,11.71%,231.54
3390,12000,9.91%,254.44
3391,7500,12.69%,251.59
3392,6250,17.27%,223.68
3393,3000,6.62%,92.12
3394,2500,11.71%,82.69
3395,3000,10.65%,97.72
3396,6200,12.42%,139.24
3397,4800,8.90%,152.42
3398,26000,21.28%,707.49
3399,3700,6.03%,112.62
3400,15000,18.64%,547.12
3401,12000,10.65%,390.88
3402,1200,7.90%,37.55
3403,15000,16.77%,370.94
3404,6000,14.65%,141.64
3405,3000,11.71%,99.23
3406,1600,18.25%,58.05
3407,6000,7.51%,186.67
3408,20000,21.28%,544.23
3409,25000,18.25%,638.25
3410,6450,18.64%,166.05
3411,3000,17.58%,107.83
3412,6600,8.90%,209.58
3413,14400,19.91%,380.8
3414,5200,15.96%,182.72
3415,7000,14.27%,240.17
3416,12000,6.03%,365.23
3417,20000,21.28%,544.23
3418,12000,9.91%,254.44
3419,7200,6.03%,219.14
3420,25000,12.69%,564.87
3421,15000,13.49%,508.96
3422,14300,20.89%,385.98
3423,10000,8.90%,317.54
3424,6000,9.91%,193.35
3425,20000,20.30%,533.23
3426,15000,6.03%,456.54
3427,29000,7.51%,902.22
3428,20800,10.65%,448.63
3429,10000,14.27%,343.09
3430,3500,8.90%,72.49
3431,3600,12.42%,120.3
3432,15000,12.42%,336.86
3433,16000,15.27%,382.92
3434,30000,18.25%,1088.34
3435,13575,11.71%,449.01
3436,10000,17.58%,251.66
3437,35000,22.06%,967.86
3438,20000,14.27%,468.17
3439,12500,6.03%,380.45
3440,35000,12.42%,786.01
3441,5000,19.03%,183.36
3442,10000,14.27%,343.09
3443,3600,16.77%,127.94
3444,10000,15.27%,347.98
3445,5200,12.69%,174.44
3446,18000,19.91%,475.99
3447,9600,7.90%,300.39
3448,15000,17.27%,374.97
3449,12000,12.42%,400.99
3450,9400,10.65%,202.75
3451,12000,13.49%,276.06
3452,6000,7.51%,186.67
3453,10000,6.62%,307.04
3454,3000,13.49%,69.02
3455,29275,21.67%,803.07
3456,35000,12.42%,786.01
3457,15600,19.03%,404.94
3458,10000,9.91%,322.25
3459,6000,9.91%,193.35
3460,4725,12.42%,106.12
3461,2000,10.65%,65.15
3462,5400,6.03%,164.36
3463,16000,18.25%,408.48
3464,2500,6.62%,76.76
3465,24800,14.27%,580.53
3466,15000,7.90%,469.36
3467,15750,6.62%,483.59
3468,4800,8.90%,152.42
3469,16000,7.90%,500.65
3470,24000,19.91%,634.66
3471,15000,12.42%,501.23
3472,28000,7.90%,876.13
3473,6000,7.90%,187.75
3474,8000,9.91%,257.8
3475,20000,14.27%,686.18
3476,3000,8.90%,95.26
3477,20000,20.30%,533.23
3478,16000,17.58%,575.08
3479,2000,12.69%,67.09
3480,10000,6.62%,307.04
3481,12000,12.69%,271.14
3482,35000,11.71%,1157.66
3483,25000,22.35%,695.46
3484,35000,20.30%,933.14
3485,17100,14.27%,400.29
3486,20000,11.71%,441.97
3487,12000,17.27%,299.98
3488,10000,6.03%,304.36
3489,20000,11.71%,441.97
3490,4500,11.71%,148.85
3491,3200,11.71%,105.85
3492,14000,7.90%,438.07
3493,21000,21.67%,576.07
3494,20000,11.71%,661.52
3495,20000,13.49%,460.1
3496,10800,12.42%,360.89
3497,15875,17.58%,399.51
3498,14500,7.90%,453.71
3499,15000,11.71%,496.14
3500,15000,14.27%,514.64
3501,16000,12.69%,361.52
3502,12000,9.91%,386.7
3503,4000,6.62%,122.82
3504,28000,20.30%,746.52
3505,3500,6.03%,106.53
3506,12000,6.62%,368.45
3507,6800,9.91%,219.13
3508,10925,12.69%,366.48
3509,8650,8.90%,274.67
3510,3500,8.90%,111.14
3511,35000,10.65%,1140.07
3512,15000,10.65%,323.53
3513,4950,7.90%,154.89
3514,10000,14.27%,343.09
3515,10000,7.90%,312.91
3516,4800,12.69%,161.02
3517,3200,13.49%,108.58
3518,10575,11.71%,233.69
3519,3000,9.91%,96.68
3520,2850,15.27%,99.18
3521,6000,14.27%,205.86
3522,2500,11.71%,82.69
3523,15000,16.77%,533.08
3524,12500,17.58%,314.57
3525,14000,7.90%,438.07
3526,3700,15.96%,130.01
3527,3000,7.90%,93.88
3528,1800,14.65%,62.09
3529,5000,8.90%,158.77
3530,13600,7.90%,425.55
3531,32875,19.42%,860.42
3532,10000,12.42%,334.16
3533,20000,13.49%,460.1
3534,21100,8.90%,670.0
3535,12000,10.65%,390.88
3536,20000,10.65%,431.37
3537,10000,6.62%,307.04
3538,24000,17.27%,599.96
3539,15000,6.03%,456.54
3540,5000,13.49%,169.66
3541,8000,16.77%,284.31
3542,16000,6.03%,486.97
3543,21000,7.90%,657.1
3544,4000,10.65%,130.3
3545,4400,11.71%,145.54
3546,12000,13.49%,276.06
3547,15000,6.03%,456.54
3548,7000,14.65%,241.46
3549,4000,15.27%,95.73
3550,7750,12.69%,259.98
3551,11500,8.90%,365.17
3552,22750,17.58%,572.52
3553,18000,11.71%,595.37
3554,12000,12.42%,269.49
3555,15000,15.27%,521.97
3556,35000,19.91%,925.54
3557,25000,11.71%,552.46
3558,22000,11.71%,727.68
3559,25600,14.27%,599.26
3560,9000,6.62%,276.34
3561,9500,11.71%,314.23
3562,11200,11.71%,370.46
3563,16000,19.42%,418.76
3564,4000,7.90%,125.17
3565,8000,19.42%,294.95
3566,14000,13.49%,322.07
3567,6000,14.27%,205.86
3568,16000,16.77%,568.62
3569,21000,12.69%,474.49
3570,10000,9.91%,322.25
3571,12000,10.65%,390.88
3572,17200,14.27%,590.12
3573,12000,14.65%,413.94
3574,18250,13.49%,419.84
3575,3000,12.42%,100.25
3576,6700,8.90%,212.75
3577,10000,6.62%,307.04
3578,23500,13.49%,797.37
3579,3000,12.69%,100.64
3580,35000,19.42%,916.03
3581,25000,7.90%,782.26
3582,11050,12.69%,370.68
3583,11200,14.27%,384.26
3584,3000,19.91%,111.36
3585,8000,7.90%,250.33
3586,12000,14.27%,280.91
3587,8000,14.27%,274.48
3588,8000,12.69%,268.36
3589,6000,6.62%,184.23
3590,8500,14.27%,291.63
3591,14000,7.90%,438.07
3592,18000,7.90%,563.23
3593,3650,9.91%,117.63
3594,22575,20.89%,609.34
3595,35000,15.96%,850.39
3596,16000,19.03%,415.32
3597,2400,9.91%,77.34
3598,20000,14.27%,468.17
3599,8000,14.27%,274.48
3600,24000,12.69%,542.28
3601,35000,11.71%,773.44
3602,17000,18.64%,437.63
3603,12500,19.03%,458.39
3604,12000,18.25%,306.36
3605,6400,8.90%,203.23
3606,2400,14.65%,82.79
3607,5000,8.90%,158.77
3608,20000,12.42%,668.31
3609,6000,9.91%,193.35
3610,11500,12.42%,384.28
3611,25000,9.91%,805.63
3612,5300,14.65%,182.82
3613,6400,18.25%,163.39
3614,16000,15.27%,382.92
3615,20375,17.27%,509.34
3616,15000,14.65%,517.42
3617,30000,22.35%,834.55
3618,21600,7.51%,672.0
3619,21000,14.27%,491.58
3620,35000,12.42%,786.01
3621,12000,17.27%,299.98
3622,5000,8.90%,158.77
3623,24000,7.90%,750.97
3624,4500,6.62%,138.17
3625,3500,15.27%,121.8
3626,5000,15.27%,119.66
3627,2500,14.65%,86.24
3628,20000,22.35%,556.37
3629,5000,10.65%,162.87
3630,4000,11.71%,132.31
3631,9325,11.71%,206.07
3632,21600,15.27%,751.64
3633,10000,12.69%,335.45
3634,6000,6.62%,184.23
3635,20000,12.42%,449.15
3636,24000,7.90%,750.97
3637,17000,6.03%,517.41
3638,2400,7.90%,75.1
3639,10000,10.65%,325.74
3640,14000,6.62%,429.86
3641,6700,10.65%,218.25
3642,7000,19.03%,256.7
3643,9000,7.51%,280.0
3644,7400,17.58%,186.23
3645,14500,18.64%,373.28
3646,16950,18.25%,614.92
3647,3600,15.27%,125.28
3648,15000,18.25%,544.17
3649,24000,17.58%,603.98
3650,4950,11.71%,163.73
3651,5875,12.69%,197.08
3652,20000,18.64%,514.86
3653,10000,6.03%,304.36
3654,3000,16.29%,105.91
3655,25000,23.91%,717.9
3656,35000,12.42%,786.01
3657,12000,18.25%,306.36
3658,5000,6.03%,152.18
3659,5825,6.62%,178.85
3660,2000,7.90%,62.59
3661,17500,11.71%,386.72
3662,30000,13.49%,690.15
3663,12500,7.90%,391.13
3664,12000,6.03%,365.23
3665,4600,6.03%,140.01
3666,12000,13.49%,276.06
3667,12000,6.62%,368.45
3668,1000,16.29%,35.31
3669,8000,6.03%,243.49
3670,7500,12.42%,168.43
3671,5800,10.65%,188.93
3672,2400,8.90%,76.21
3673,20000,11.71%,441.97
3674,9375,21.67%,257.18
3675,6000,6.03%,182.62
3676,24000,12.69%,542.28
3677,3825,17.27%,136.89
3678,10200,12.69%,342.16
3679,17500,18.64%,450.51
3680,9250,7.90%,289.44
3681,21500,6.62%,660.13
3682,4000,14.27%,137.24
3683,35000,19.03%,908.5
3684,12000,20.30%,319.94
3685,3200,10.65%,104.24
3686,5000,7.90%,156.46
3687,4350,6.03%,132.4
3688,7475,7.90%,233.9
3689,2800,7.51%,87.12
3690,5300,7.90%,165.84
3691,4000,8.90%,127.02
3692,9000,6.03%,273.92
3693,8300,14.65%,195.94
3694,12000,12.42%,269.49
3695,16000,6.03%,486.97
3696,25000,18.25%,638.25
3697,15000,9.91%,483.38
3698,20000,11.71%,441.97
3699,2500,7.51%,77.78
3700,25600,14.65%,883.06
3701,15000,18.25%,382.95
3702,12000,6.62%,368.45
3703,35000,14.27%,1200.82
3704,11325,15.96%,397.93
3705,21000,13.49%,483.1
3706,2500,6.62%,76.76
3707,10625,7.90%,332.46
3708,14400,18.64%,370.7
3709,21250,17.27%,531.21
3710,35000,17.58%,880.8
3711,4000,17.27%,143.15
3712,3000,12.42%,100.25
3713,4800,12.42%,160.4
3714,12000,9.91%,254.44
3715,12000,17.27%,299.98
3716,6000,7.90%,187.75
3717,6000,12.69%,201.27
3718,14000,12.42%,467.82
3719,22125,13.49%,508.98
3720,24000,12.69%,542.28
3721,12000,10.65%,390.88
3722,9450,6.62%,290.15
3723,8000,6.03%,243.49
3724,5600,15.96%,196.77
3725,30000,7.90%,938.71
3726,23200,20.89%,626.21
3727,9300,14.65%,219.55
3728,15000,14.27%,351.13
3729,6075,11.71%,200.94
3730,4000,14.27%,137.24
3731,4350,15.27%,151.37
3732,11000,15.96%,267.27
3733,5750,8.90%,119.09
3734,10375,8.90%,214.87
3735,9000,14.27%,308.79
3736,10000,17.27%,249.98
3737,20000,11.71%,661.52
3738,16000,12.69%,361.52
3739,10000,8.90%,317.54
3740,10000,12.69%,335.45
3741,12875,12.42%,430.23
3742,4000,6.03%,121.75
3743,1000,11.71%,33.08
3744,3500,13.49%,118.76
3745,10200,7.90%,206.34
3746,8875,19.03%,325.46
3747,2300,11.71%,76.08
3748,6850,10.65%,223.13
3749,6000,7.90%,187.75
3750,12300,6.62%,377.66
3751,14000,18.64%,360.41
3752,14000,16.29%,494.21
3753,16000,7.90%,500.65
3754,6000,15.27%,208.79
3755,6300,11.71%,208.38
3756,35000,14.27%,819.3
3757,6200,6.03%,188.71
3758,7200,8.90%,228.63
3759,4600,11.71%,152.15
3760,10625,6.03%,323.38
3761,1800,11.71%,59.54
3762,15000,14.27%,351.13
3763,18550,19.42%,485.5
3764,7000,6.03%,213.05
3765,10200,17.27%,365.03
3766,16000,12.69%,361.52
3767,2000,11.71%,66.16
3768,13000,12.42%,434.4
3769,8000,6.03%,243.49
3770,7200,9.91%,232.02
3771,35000,11.71%,773.44
3772,4400,6.62%,135.1
3773,24000,8.90%,762.08
3774,31825,21.67%,873.02
3775,14000,14.27%,480.33
3776,10000,13.49%,339.31
3777,6000,7.51%,186.67
3778,12000,9.91%,386.7
3779,8000,17.58%,287.54
3780,25000,16.77%,618.23
3781,8000,12.42%,267.33
3782,8000,6.62%,245.63
3783,35000,21.67%,960.11
3784,12000,11.71%,396.92
3785,14000,6.03%,426.1
3786,27525,22.06%,761.15
3787,4400,16.29%,155.33
3788,8000,7.51%,248.89
3789,30000,11.71%,662.95
3790,30000,14.27%,702.26
3791,14000,6.03%,426.1
3792,10000,7.90%,312.91
3793,4900,11.71%,162.08
3794,14000,20.30%,373.26
3795,4500,6.62%,138.17
3796,15000,7.90%,469.36
3797,22800,22.06%,630.49
3798,12000,11.71%,396.92
3799,20000,19.42%,523.45
3800,25500,14.65%,601.97
3801,12000,8.90%,381.04
3802,14000,12.69%,469.63
3803,35000,22.06%,967.86
3804,17750,20.30%,473.24
3805,2400,11.71%,79.39
3806,35000,22.06%,967.86
